UniProt gene,UniProt description,Surfaceome Label,Surfaceome Label Source,CD number,CSPA category,TM domains,topology,HPA antibody,DrugBank approved drug IDs,UniProt subcellular
DCT,L-dopachrome tautomerase,surface,machine learning,,1 - high confidence,1,SP:1-23;NC:24-470;TM:471-493;CY:494-519,HPA010743;HPA010800;CAB017634,,Melanosome membrane (Single-pass type I membrane protein)
DDR2,Discoidin domain-containing receptor 2,surface,pos. trainingset,CD167b,1 - high confidence,1,SP:1-23;NC:24-399;TM:400-421;CY:422-855,no,DB08896,Cell membrane (Single- pass type I membrane protein)
DGCR2,Integral membrane protein DGCR2/IDD,surface,machine learning,,1 - high confidence,1,SP:1-23;NC:24-347;TM:348-368;CY:369-550,HPA000873,,Membrane (Single-pass type I membrane protein)
DISP2,Protein dispatched homolog 2,surface,machine learning,,2 - putative,12,CY:1-166;TM:167-191;NC:192-488;TM:489-505;CY:506-510;TM:511-533;NC:534-540;TM:541-566;CY:567-588;TM:589-607;NC:608-617;TM:618-639;CY:640-702;TM:703-722;NC:723-963;TM:964-982;CY:983-989;TM:990-1010;NC:1011-1018;TM:1019-1041;CY:1042-1060;TM:1061-1084;NC:1085-1089;TM:1090-1113;CY:1114-1401,HPA059903,,Membrane (Multi-pass membrane protein)
DNER,Delta and Notch-like epidermal growth factor-related receptor,surface,pos. trainingset,,1 - high confidence,1,SP:1-34;NC:35-638;TM:639-662;CY:663-737,HPA017320,,Cell membrane (Single-pass type I membrane protein)
DPEP1,Dipeptidase 1,surface,GPI (UniProt),,1 - high confidence,0,SP:1-16;NC:17-411,HPA009426;HPA012783,DB01597,"Apical cell membrane (Lipid-anchor, GPI- anchor);Cell projection, microvillus membrane (Lipid-anchor, GPI- anchor)"
DPP4,Dipeptidyl peptidase 4,surface,pos. trainingset,CD26,1 - high confidence,1,CY:1-6;TM:7-28;NC:29-766,CAB045970,DB01076;DB01261;DB04876;DB06203;DB06335;DB08882,"Apical cell membrane (Single-pass type II membrane protein);Cell junction;Cell membrane (Single-pass type II membrane protein);Cell projection, invadopodium membrane (Single-pass type II membrane protein);Cell projection, lamellipodium membrane (Single-pass type II membrane protein);Membrane raft;Secreted"
DSC2,Desmocollin-2,surface,pos. trainingset,,1 - high confidence,1,SP:1-31;NC:32-694;TM:695-717;CY:718-901,HPA011911;HPA012615,,"Cell junction, desmosome;Cell membrane (Single-pass type I membrane protein)"
DSG2,Desmoglein-2,surface,pos. trainingset,,1 - high confidence,1,SP:1-23;NC:24-612;TM:613-634;CY:635-1118,HPA004896;CAB025122,,"Cell junction, desmosome;Cell membrane (Single-pass type I membrane protein)"
ECE1,Endothelin-converting enzyme 1,surface,pos. trainingset,,1 - high confidence,1,CY:1-68;TM:69-91;NC:92-770,HPA001490;HPA013616,,Cell membrane (Single-pass type II membrane protein)
EDNRA,Endothelin-1 receptor,surface,pos. trainingset,,1 - high confidence,7,SP:1-20;NC:21-80;TM:81-105;CY:106-116;TM:117-136;NC:137-160;TM:161-181;CY:182-200;TM:201-225;NC:226-256;TM:257-283;CY:284-303;TM:304-324;NC:325-344;TM:345-372;CY:373-427,HPA013774;HPA014087;CAB018957,DB00559;DB00945;DB06268;DB08932,Cell membrane (Multi-pass membrane protein)
EFNA1,Ephrin-A1,surface,GPI (UniProt),,1 - high confidence,0,SP:1-18;NC:19-205,CAB032498,,"Cell membrane (Lipid-anchor, GPI-anchor);Secreted"
EFNA4,Ephrin-A4,surface,GPI (UniProt),,1 - high confidence,0,SP:1-22;NC:23-201,CAB021350,,"Cell membrane (Lipid-anchor, GPI- anchor);Secreted"
EFNA5,Ephrin-A5,surface,GPI (UniProt),,1 - high confidence,0,SP:1-20;NC:21-228,CAB013282,,"Cell membrane (Lipid-anchor, GPI-anchor);Membrane, caveola (Lipid-anchor, GPI-anchor)"
EFNB1,Ephrin-B1,surface,machine learning,,1 - high confidence,1,SP:1-29;NC:30-238;TM:239-263;CY:264-346,CAB031489,,Membrane (Single-pass type I membrane protein)
EFNB2,Ephrin-B2,surface,machine learning,,1 - high confidence,1,SP:1-25;NC:26-225;TM:226-250;CY:251-333,HPA008999;CAB009368,,Membrane (Single-pass type I membrane protein)
EFNB3,Ephrin-B3,surface,machine learning,,1 - high confidence,1,SP:1-29;NC:30-226;TM:227-251;CY:252-340,HPA001623,,Membrane (Single-pass type I membrane protein)
EGFR,Epidermal growth factor receptor,surface,pos. trainingset,,1 - high confidence,1,SP:1-24;NC:25-645;TM:646-668;CY:669-1210,CAB000035;HPA001200;HPA018530;CAB068186,DB00002;DB00072;DB00281;DB00317;DB00530;DB01259;DB01269;DB05294;DB08916,Cell membrane (Single-pass type I membrane protein);Endoplasmic reticulum membrane (Single-pass type I membrane protein);Endosome;Endosome membrane;Golgi apparatus membrane (Single-pass type I membrane protein);Nucleus;Nucleus membrane (Single-pass type I membrane protein);Secreted
ELFN1,Protein ELFN1,surface,machine learning,,1 - high confidence,1,SP:1-27;NC:28-416;TM:417-440;CY:441-828,no,,"Cell projection, dendrite;Membrane (Single-pass type I membrane protein)"
ELFN2,Protein phosphatase 1 regulatory subunit 29,surface,machine learning,,1 - high confidence,1,SP:1-22;NC:23-396;TM:397-419;CY:420-820,HPA000781,,Membrane (Single-pass membrane protein)
EMB,Embigin,surface,pos. trainingset,,1 - high confidence,1,SP:1-32;NC:33-262;TM:263-281;CY:282-327,HPA017740,,"Cell junction, synapse;Cell membrane (Single-pass type I membrane protein)"
EMP1,Epithelial membrane protein 1,surface,machine learning,,2 - putative,4,CY:1-6;TM:7-25;NC:26-64;TM:65-87;CY:88-94;TM:95-116;NC:117-131;TM:132-154;CY:155-157,HPA056250,,Membrane (Multi-pass membrane protein)
EMP2,Epithelial membrane protein 2,surface,machine learning,,2 - putative,3,SP:1-16;NC:17-62;TM:63-84;CY:85-94;TM:95-116;NC:117-140;TM:141-163;CY:164-167,HPA014711,,Apical cell membrane;Cell membrane;Cytoplasm;Golgi apparatus membrane (Multi-pass membrane protein);Membrane raft;Nucleus
EMP3,Epithelial membrane protein 3,surface,machine learning,,2 - putative,3,SP:1-26;NC:27-64;TM:65-88;CY:89-95;TM:96-120;NC:121-134;TM:135-159;CY:160-163,HPA051163,,Membrane (Multi-pass membrane protein)
ENG,Endoglin,surface,machine learning,CD105,1 - high confidence,1,SP:1-25;NC:26-587;TM:588-614;CY:615-658,CAB000096;HPA011862,,Membrane (Single-pass type I membrane protein)
ENPEP,Glutamyl aminopeptidase,surface,machine learning,CD249,2 - putative,1,CY:1-19;TM:20-39;NC:40-957,HPA005128,,Membrane (Single-pass type II membrane protein)
ENPP1,Ectonucleotide pyrophosphatase/phosphodiesterase family member 1,surface,pos. trainingset,CD203a,1 - high confidence,1,CY:1-76;TM:77-97;NC:98-925,CAB032904;HPA062066,DB00811;DB01143,Basolateral cell membrane (Single-pass type II membrane protein);Cell membrane (Single-pass type II membrane protein);Secreted
ENPP4,Bis(5'-adenosyl)-triphosphatase ENPP4,surface,pos. trainingset,,1 - high confidence,1,SP:1-18;NC:19-406;TM:407-428;CY:429-453,HPA016594,,Cell membrane (Single-pass type I membrane protein)
ENTPD1,Ectonucleoside triphosphate diphosphohydrolase 1,surface,machine learning,CD39,2 - putative,2,CY:1-15;TM:16-37;NC:38-476;TM:477-499;CY:500-510,CAB002494;HPA014067,,Membrane (Multi-pass membrane protein)
EPCAM,Epithelial cell adhesion molecule,surface,pos. trainingset,CD326,1 - high confidence,1,SP:1-23;NC:24-265;TM:266-288;CY:289-314,CAB003809;HPA026761;CAB030012,,"Cell junction, tight junction;Lateral cell membrane (Single-pass type I membrane protein)"
EPHA1,Ephrin type-A receptor 1,surface,pos. trainingset,,1 - high confidence,1,SP:1-25;NC:26-547;TM:548-568;CY:569-976,CAB026144,,Cell membrane (Single-pass type I membrane protein)
EPHA2,Ephrin type-A receptor 2,surface,pos. trainingset,,1 - high confidence,1,SP:1-26;NC:27-534;TM:535-558;CY:559-976,CAB010464,DB01254;DB08896,"Cell junction, focal adhesion;Cell membrane (Single-pass type I membrane protein);Cell projection, lamellipodium membrane (Single- pass type I membrane protein);Cell projection, ruffle membrane (Single-pass type I membrane protein)"
EPHA3,Ephrin type-A receptor 3,surface,pos. trainingset,,1 - high confidence,1,SP:1-20;NC:21-541;TM:542-564;CY:565-983,CAB010462,,Cell membrane (Single-pass type I membrane protein);Secreted
EPHA4,Ephrin type-A receptor 4,surface,pos. trainingset,,1 - high confidence,1,SP:1-19;NC:20-547;TM:548-569;CY:570-986,CAB028368,,"Cell junction, synapse, postsynaptic cell membrane, postsynaptic density;Cell membrane (Single-pass type I membrane protein);Cell projection, axon;Cell projection, dendrite;Early endosome"
EPHA5,Ephrin type-A receptor 5,surface,pos. trainingset,,1 - high confidence,1,SP:1-29;NC:30-571;TM:572-595;CY:596-1037,no,,"Cell membrane (Single-pass type I membrane protein);Cell projection, axon;Cell projection, dendrite"
EPHB1,Ephrin type-B receptor 1,surface,pos. trainingset,,1 - high confidence,1,SP:1-17;NC:18-540;TM:541-562;CY:563-984,no,,"Cell membrane (Single-pass type I membrane protein);Cell projection, dendrite;Early endosome membrane"
EPHB2,Ephrin type-B receptor 2,surface,pos. trainingset,,1 - high confidence,1,SP:1-18;NC:19-542;TM:543-565;CY:566-1055,CAB013647,,"Cell membrane (Single-pass type I membrane protein);Cell projection, axon;Cell projection, dendrite"
EPHB3,Ephrin type-B receptor 3,surface,pos. trainingset,,1 - high confidence,1,SP:1-37;NC:38-558;TM:559-582;CY:583-998,HPA007698;HPA008184,,"Cell membrane (Single-pass type I membrane protein);Cell projection, dendrite"
EPHB4,Ephrin type-B receptor 4,surface,pos. trainingset,,1 - high confidence,1,SP:1-15;NC:16-537;TM:538-563;CY:564-987,CAB013537,,Cell membrane (Single-pass type I membrane protein)
ERBB2,Receptor tyrosine-protein kinase erbB-2,surface,pos. trainingset,CD340,1 - high confidence,1,SP:1-22;NC:23-652;TM:653-675;CY:676-1255,CAB000043;HPA001338;HPA001383;CAB020416;CAB062555,DB00072;DB01259;DB05773;DB06366;DB08916,"Cell membrane (Single-pass type I membrane protein);Cytoplasm, perinuclear region;Nucleus;Cytoplasm;Nucleus;Cytoplasm;Nucleus"
ERBB3,Receptor tyrosine-protein kinase erbB-3,surface,pos. trainingset,,1 - high confidence,1,SP:1-19;NC:20-642;TM:643-666;CY:667-1342,CAB025331;HPA045396,,Cell membrane (Single-pass type I membrane protein);Secreted
ERMP1,Endoplasmic reticulum metallopeptidase 1,surface,machine learning,,2 - putative,9,CY:1-70;TM:71-88;NC:89-399;TM:400-424;CY:425-453;TM:454-478;NC:479-487;TM:488-510;CY:511-521;TM:522-540;NC:541-545;TM:546-566;CY:567-580;TM:581-602;NC:603-621;TM:622-644;CY:645-651;TM:652-674;NC:675-904,HPA020584,,Endoplasmic reticulum membrane (Multi-pass membrane protein)
ESAM,Endothelial cell-selective adhesion molecule,surface,pos. trainingset,,1 - high confidence,1,SP:1-29;NC:30-246;TM:247-271;CY:272-390,HPA051043;HPA056293,,"Cell junction, adherens junction;Cell junction, tight junction;Cell membrane (Single-pass type I membrane protein)"
EVI2A,Protein EVI2A,surface,machine learning,,1 - high confidence,1,SP:1-30;NC:31-132;TM:133-160;CY:161-236,HPA045033,,Membrane (Single-pass type I membrane protein)
F11R,Junctional adhesion molecule A,surface,pos. trainingset,CD321,1 - high confidence,1,SP:1-27;NC:28-236;TM:237-261;CY:262-299,CAB004671;HPA043616;HPA061700,,"Cell junction, tight junction;Cell membrane (Single-pass type I membrane protein)"
F2R,Proteinase-activated receptor 1,surface,pos. trainingset,,1 - high confidence,7,SP:1-21;NC:22-106;TM:107-129;CY:130-137;TM:138-157;NC:158-176;TM:177-198;CY:199-218;TM:219-239;NC:240-266;TM:267-291;CY:292-311;TM:312-338;NC:339-349;TM:350-373;CY:374-425,CAB008973,DB00086,Cell membrane (Multi-pass membrane protein)
F2RL3,Proteinase-activated receptor 4,surface,pos. trainingset,,1 - high confidence,7,SP:1-19;NC:20-81;TM:82-102;CY:103-113;TM:114-134;NC:135-153;TM:154-172;CY:173-191;TM:192-213;NC:214-242;TM:243-268;CY:269-283;TM:284-307;NC:308-318;TM:319-343;CY:344-385,no,,Cell membrane (Multi-pass membrane protein)
F3,Tissue factor,surface,machine learning,CD142,1 - high confidence,1,SP:1-32;NC:33-251;TM:252-274;CY:275-295,CAB009438;HPA049292,DB00036,Membrane (Single-pass type I membrane protein);Secreted
FAM171A1,Protein FAM171A1,surface,machine learning,,1 - high confidence,1,SP:1-18;NC:19-303;TM:304-327;CY:328-890,HPA051345,,Membrane (Single-pass type I membrane protein)
FAM171A2,Protein FAM171A2,surface,machine learning,,1 - high confidence,1,SP:1-26;NC:27-315;TM:316-339;CY:340-826,HPA019770,,Membrane (Single-pass type I membrane protein)
FAM174A,Membrane protein FAM174A,surface,machine learning,,1 - high confidence,1,SP:1-31;NC:32-123;TM:124-144;CY:145-190,HPA019539,,Membrane (Single-pass type I membrane protein)
FAM174B,Membrane protein FAM174B,surface,machine learning,,1 - high confidence,1,SP:1-29;NC:30-92;TM:93-114;CY:115-159,HPA015306,,Membrane (Single-pass type I membrane protein)
FAM189B,Protein FAM189B,surface,machine learning,,2 - putative,4,CY:1-32;TM:33-56;NC:57-69;TM:70-87;CY:88-93;TM:94-115;NC:116-172;TM:173-197;CY:198-668,HPA006659;HPA050674,,Membrane (Multi-pass membrane protein)
FAP,Prolyl endopeptidase FAP,surface,pos. trainingset,,1 - high confidence,1,CY:1-6;TM:7-27;NC:28-760,HPA059739,,"Secreted;Cytoplasm;Cell membrane (Single- pass type II membrane protein);Cell projection, invadopodium membrane (Single-pass type II membrane protein);Cell projection, lamellipodium membrane (Single-pass type II membrane protein);Cell projection, ruffle membrane (Single-pass type II membrane protein);Cell surface;Membrane (Single-pass type II membrane protein)"
FAS,Tumor necrosis factor receptor superfamily member 6,surface,pos. trainingset,CD95,1 - high confidence,1,SP:1-25;NC:26-173;TM:174-190;CY:191-335,HPA027444,,Cell membrane (Single-pass type I membrane protein);Secreted;Secreted;Secreted;Secreted;Secreted
FAT1,Protocadherin Fat 1,surface,pos. trainingset,,1 - high confidence,1,SP:1-21;NC:22-4181;TM:4182-4202;CY:4203-4588,HPA001869;HPA023882,,"Cell membrane (Single-pass type I membrane protein);Cytoplasm, perinuclear region;Nucleus"
FAT3,Protocadherin Fat 3,surface,machine learning,,1 - high confidence,1,SP:1-32;NC:33-4154;TM:4155-4175;CY:4176-4589,HPA026878,,Membrane (Single-pass type I membrane protein)
FAT4,Protocadherin Fat 4,surface,machine learning,,1 - high confidence,1,SP:1-42;NC:43-4501;TM:4502-4526;CY:4527-4981,HPA052819,,Membrane (Single-pass type I membrane protein)
FCAR,Immunoglobulin alpha Fc receptor,surface,pos. trainingset,CD89,1 - high confidence,1,SP:1-21;NC:22-227;TM:228-247;CY:248-287,HPA014050,,Cell membrane (Single-pass type I membrane protein);Cell membrane (Single-pass type I membrane protein);Cell membrane (Single-pass type I membrane protein);Secreted;Secreted
FCGR1A,High affinity immunoglobulin gamma Fc receptor I,surface,pos. trainingset,CD64,1 - high confidence,1,SP:1-15;NC:16-289;TM:290-313;CY:314-374,no,DB00002;DB00005;DB00028;DB00051;DB00054;DB00056;DB00072;DB00073;DB00074;DB00075;DB00078;DB00081;DB00087;DB00092;DB00095;DB00108;DB00110;DB00111;DB00112;DB00707;DB00992,Cell membrane (Single-pass type I membrane protein)
FCGR3B,Low affinity immunoglobulin gamma Fc region receptor III-B,surface,GPI (UniProt),CD16b,1 - high confidence,0,SP:1-20;NC:21-233,no,DB00002;DB00005;DB00028;DB00051;DB00054;DB00056;DB00072;DB00073;DB00074;DB00075;DB00078;DB00081;DB00087;DB00092;DB00095;DB00108;DB00110;DB00111;DB00112,"Cell membrane (Lipid-anchor, GPI-anchor);Secreted"
FCGRT,IgG receptor FcRn large subunit p51,surface,pos. trainingset,,1 - high confidence,1,SP:1-23;NC:24-297;TM:298-321;CY:322-365,HPA012122;HPA015130,,Cell membrane (Single-pass type I membrane protein)
FCRL2,Fc receptor-like protein 2,surface,pos. trainingset,CD307b,1 - high confidence,1,SP:1-17;NC:18-399;TM:400-422;CY:423-508,CAB017619;HPA041426,,Cell membrane (Single-pass type I membrane protein)
FCRL3,Fc receptor-like protein 3,surface,pos. trainingset,CD307c,1 - high confidence,1,SP:1-17;NC:18-572;TM:573-596;CY:597-734,HPA015508,,Cell membrane (Single-pass type I membrane protein)
FCRL5,Fc receptor-like protein 5,surface,pos. trainingset,CD307e,1 - high confidence,1,SP:1-15;NC:16-848;TM:849-873;CY:874-977,HPA039942;HPA039998,,Cell membrane (Single-pass type I membrane protein)
FCRL6,Fc receptor-like protein 6,surface,pos. trainingset,,1 - high confidence,1,SP:1-15;NC:16-308;TM:309-330;CY:331-434,no,,Membrane (Single-pass type I membrane protein)
FGFR1,Fibroblast growth factor receptor 1,surface,pos. trainingset,CD331,1 - high confidence,1,SP:1-21;NC:22-376;TM:377-397;CY:398-822,CAB033614;HPA056402,DB00039;DB00398;DB08896;DB08901,"Cell membrane (Single-pass type I membrane protein);Cytoplasm, cytosol;Cytoplasmic vesicle;Nucleus"
FGFR2,Fibroblast growth factor receptor 2,surface,pos. trainingset,CD332,1 - high confidence,1,SP:1-26;NC:27-377;TM:378-398;CY:399-821,CAB010886;HPA035305;HPA056562,DB00039;DB01041;DB08896;DB08901,Cell membrane (Single-pass type I membrane protein);Cytoplasmic vesicle;Golgi apparatus;Cell membrane (Single-pass type I membrane protein);Secreted;Secreted;Cell membrane (Single-pass type I membrane protein)
FGFR4,Fibroblast growth factor receptor 4,surface,pos. trainingset,CD334,1 - high confidence,1,SP:1-21;NC:22-369;TM:370-390;CY:391-802,CAB005196;HPA027273;HPA027369;HPA028251,DB00039;DB08901,Cell membrane (Single-pass type I membrane protein);Endoplasmic reticulum;Endosome;Secreted;Cytoplasm
FGFRL1,Fibroblast growth factor receptor-like 1,surface,pos. trainingset,,1 - high confidence,1,SP:1-24;NC:25-375;TM:376-398;CY:399-504,CAB026019,,Membrane (Single-pass type I membrane protein)
FKRP,Fukutin-related protein,surface,pos. trainingset,,1 - high confidence,1,CY:1-6;TM:7-27;NC:28-495,HPA060454,,"Cell membrane, sarcolemma;Golgi apparatus membrane (Single-pass type II membrane protein);Rough endoplasmic reticulum;Secreted"
FLRT1,Leucine-rich repeat transmembrane protein FLRT1,surface,pos. trainingset,,1 - high confidence,1,SP:1-22;NC:23-524;TM:525-549;CY:550-646,HPA054589,,Membrane (Single-pass type I membrane protein)
FLRT2,Leucine-rich repeat transmembrane protein FLRT2,surface,pos. trainingset,,1 - high confidence,1,SP:1-35;NC:36-540;TM:541-564;CY:565-660,no,,Membrane (Single-pass type I membrane protein)
FLT1,Vascular endothelial growth factor receptor 1,surface,pos. trainingset,,1 - high confidence,1,SP:1-26;NC:27-758;TM:759-780;CY:781-1338,HPA011740;HPA014290;CAB068189;CAB068190,DB00398;DB01268;DB06589;DB06626;DB08896,Cell membrane (Single-pass type I membrane protein);Endosome;Secreted;Secreted;Secreted;Cytoplasm;Cytoplasm;Cytoplasm
FLT3,Receptor-type tyrosine-protein kinase FLT3,surface,machine learning,CD135,1 - high confidence,1,SP:1-27;NC:28-541;TM:542-563;CY:564-993,CAB018358,DB00398;DB01268;DB08901,Endoplasmic reticulum lumen;Membrane (Single-pass type I membrane protein)
FLT4,Vascular endothelial growth factor receptor 3,surface,pos. trainingset,,1 - high confidence,1,SP:1-24;NC:25-775;TM:776-798;CY:799-1363,CAB000099,DB00398;DB01268;DB06589;DB06626;DB08896,Cell membrane (Single-pass type I membrane protein);Cytoplasm;Nucleus;Cell membrane (Single-pass type I membrane protein);Cell membrane (Single-pass type I membrane protein);Cytoplasm;Secreted
FNDC5,Fibronectin type III domain-containing protein 5,surface,pos. trainingset,,1 - high confidence,1,SP:1-31;NC:32-154;TM:155-173;CY:174-212,HPA051290,,Cell membrane (Single-pass type I membrane protein);Peroxisome membrane (Single-pass type I membrane protein);Secreted
FOLR1,Folate receptor alpha,surface,GPI (UniProt),,1 - high confidence,0,SP:1-22;NC:23-257,no,,"Apical cell membrane;Cell membrane (Lipid-anchor, GPI-anchor);Cytoplasmic vesicle;Cytoplasmic vesicle, clathrin-coated vesicle;Endosome;Secreted"
FRAS1,Extracellular matrix protein FRAS1,surface,pos. trainingset,,1 - high confidence,1,SP:1-26;NC:27-3901;TM:3902-3923;CY:3924-4008,HPA011281;HPA051601,,Cell membrane (Single-pass type I membrane protein|Extracellular side
FREM2,FRAS1-related extracellular matrix protein 2,surface,pos. trainingset,,1 - high confidence,1,SP:1-46;NC:47-3108;TM:3109-3134;CY:3135-3169,HPA028831,,Cell membrane (Single-pass type I membrane protein|Extracellular side
FZD4,Frizzled-4,surface,pos. trainingset,CD344,1 - high confidence,7,SP:1-38;NC:39-220;TM:221-243;CY:244-254;TM:255-273;NC:274-303;TM:304-328;CY:329-348;TM:349-368;NC:369-387;TM:388-414;CY:415-434;TM:435-458;NC:459-477;TM:478-496;CY:497-537,HPA042328,,Cell membrane (Multi-pass membrane protein);Membrane (Multi-pass membrane protein)
GABRA2,Gamma-aminobutyric acid receptor subunit alpha-2,surface,pos. trainingset,,1 - high confidence,4,SP:1-28;NC:29-249;TM:250-273;CY:274-280;TM:281-300;NC:301-314;TM:315-337;CY:338-422;TM:423-441;NC:442-451,HPA014261,DB00231;DB00241;DB00306;DB00312;DB00371;DB00402;DB00418;DB00425;DB00546;DB00599;DB00683;DB00690;DB00794;DB00801;DB00829;DB00842;DB00849;DB00897;DB01198;DB01215;DB01346;DB01351;DB01352;DB01353;DB01354;DB01355;DB01544;DB01558;DB01559;DB01567;DB01588;DB01589;DB01594;DB01595;DB00186;DB00189;DB00228;DB00231;DB00237;DB00241;DB00273;DB00292;DB00306;DB00312;DB00334;DB00349;DB00371;DB00402;DB00404;DB00475;DB00543;DB00628;DB00659;DB00753;DB00794;DB00801;DB00818;DB00829;DB00842;DB00897;DB01028;DB01049;DB01068;DB01107;DB01159;DB01189;DB01205;DB01215;DB01236;DB01437;DB01588;DB01589,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GABRB3,Gamma-aminobutyric acid receptor subunit beta-3,surface,pos. trainingset,,1 - high confidence,4,SP:1-25;NC:26-242;TM:243-266;CY:267-272;TM:273-293;NC:294-308;TM:309-332;CY:333-453;TM:454-471;NC:472-473,no,DB00231;DB00546;DB00592;DB00602;DB00683;DB00690;DB00801;DB00818;DB00829;DB00842;DB00897;DB01215;DB01558;DB01559;DB01567;DB01588;DB01589;DB01594;DB01595;DB06716;DB00186;DB00189;DB00228;DB00231;DB00237;DB00241;DB00273;DB00292;DB00306;DB00312;DB00334;DB00349;DB00371;DB00402;DB00404;DB00475;DB00543;DB00628;DB00659;DB00753;DB00794;DB00801;DB00818;DB00829;DB00842;DB00897;DB01028;DB01049;DB01068;DB01107;DB01159;DB01189;DB01205;DB01215;DB01236;DB01437;DB01588;DB01589,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GDPD5,Glycerophosphodiester phosphodiesterase domain-containing protein 5,surface,machine learning,,2 - putative,6,CY:1-42;TM:43-63;NC:64-87;TM:88-114;CY:115-125;TM:126-145;NC:146-161;TM:162-181;CY:182-192;TM:193-213;NC:214-497;TM:498-517;CY:518-605,no,,"Cell projection, growth cone;Cytoplasm, perinuclear region;Endomembrane system (Multi- pass membrane protein)"
GFRA1,GDNF family receptor alpha-1,surface,GPI (UniProt),,1 - high confidence,0,SP:1-18;NC:19-465,HPA043829,,"Cell membrane (Lipid-anchor, GPI-anchor)"
GFRA2,GDNF family receptor alpha-2,surface,GPI (UniProt),,1 - high confidence,0,SP:1-21;NC:22-464,HPA024704;CAB032791,,"Cell membrane (Lipid-anchor, GPI-anchor)"
GGT1,Gamma-glutamyltranspeptidase 1,surface,pos. trainingset,CD224,2 - putative,1,CY:1-6;TM:7-27;NC:28-569,HPA045635;HPA047534,DB00143,Cell membrane (Single-pass type II membrane protein)
GGT7,Gamma-glutamyltransferase 7,surface,machine learning,,2 - putative,1,CY:1-106;TM:107-131;NC:132-662,HPA013204,,Membrane (Single-pass type II membrane protein)
GP5,Platelet glycoprotein V,surface,machine learning,CD42d,1 - high confidence,1,SP:1-18;NC:19-521;TM:522-545;CY:546-560,no,,Membrane (Single-pass type I membrane protein)
GPC1,Glypican-1,surface,GPI (UniProt),,1 - high confidence,0,SP:1-23;NC:24-558,HPA030571,,"Cell membrane (Lipid-anchor, GPI-anchor|Extracellular side;Endosome;Secreted, extracellular space"
GPC4,Glypican-4,surface,GPI (UniProt),,1 - high confidence,0,SP:1-22;NC:23-556,HPA030836,,"Cell membrane (Lipid-anchor, GPI-anchor|Extracellular side;Secreted, extracellular space"
GPC5,Glypican-5,surface,GPI (UniProt),,1 - high confidence,0,SP:1-26;NC:27-572,CAB025506;HPA044081,,"Cell membrane (Lipid-anchor, GPI-anchor|Extracellular side;Secreted, extracellular space"
GPM6B,Neuronal membrane glycoprotein M6-b,surface,pos. trainingset,,1 - high confidence,4,CY:1-28;TM:29-51;NC:52-88;TM:89-111;CY:112-131;TM:132-156;NC:157-222;TM:223-245;CY:246-265,HPA002913,,Cell membrane (Multi-pass membrane protein)
GPNMB,Transmembrane glycoprotein NMB,surface,pos. trainingset,,1 - high confidence,1,SP:1-21;NC:22-494;TM:495-513;CY:514-572,CAB026224;HPA044969,,Cell membrane (Single-pass type I membrane protein);Melanosome
GPR107,Protein GPR107,surface,machine learning,,1 - high confidence,7,SP:1-18;NC:19-264;TM:265-284;CY:285-295;TM:296-314;NC:315-333;TM:334-357;CY:358-368;TM:369-387;NC:388-402;TM:403-421;CY:422-496;TM:497-519;NC:520-524;TM:525-544;CY:545-600,HPA031704,,"Golgi apparatus, trans-Golgi network membrane (Multi-pass membrane protein)"
GPR132,Probable G-protein coupled receptor 132,surface,pos. trainingset,,1 - high confidence,7,NC:1-43;TM:44-68;CY:69-76;TM:77-100;NC:101-117;TM:118-138;CY:139-158;TM:159-178;NC:179-197;TM:198-222;CY:223-243;TM:244-268;NC:269-286;TM:287-311;CY:312-380,HPA029694;HPA029695,,Cell membrane (Multi-pass membrane protein)
GPR155,Integral membrane protein GPR155,surface,machine learning,,2 - putative,17,NC:1-41;TM:42-60;CY:61-79;TM:80-97;NC:98-102;TM:103-124;CY:125-134;TM:135-154;NC:155-165;TM:166-188;CY:189-209;TM:210-232;NC:233-244;TM:245-264;CY:265-274;TM:275-293;NC:294-312;TM:313-334;CY:335-344;TM:345-366;NC:367-382;TM:383-403;CY:404-414;TM:415-434;NC:435-439;TM:440-461;CY:462-479;TM:480-501;NC:502-520;TM:521-541;CY:542-658;TM:659-680;NC:681-691;TM:692-713;CY:714-870,HPA036159,,Membrane (Multi-pass membrane protein)
GPR174,Probable G-protein coupled receptor 174,surface,pos. trainingset,,1 - high confidence,7,NC:1-22;TM:23-46;CY:47-54;TM:55-79;NC:80-89;TM:90-114;CY:115-134;TM:135-155;NC:156-182;TM:183-206;CY:207-227;TM:228-249;NC:250-268;TM:269-294;CY:295-333,HPA041025,,Cell membrane (Multi-pass membrane protein)
GPR176,Probable G-protein coupled receptor 176,surface,pos. trainingset,,1 - high confidence,7,NC:1-45;TM:46-67;CY:68-78;TM:79-102;NC:103-121;TM:122-141;CY:142-161;TM:162-183;NC:184-203;TM:204-228;CY:229-266;TM:267-288;NC:289-298;TM:299-321;CY:322-515,HPA039943;HPA039979,,Cell membrane (Multi-pass membrane protein)
