UniProt gene,UniProt description,Surfaceome Label,Surfaceome Label Source,CD number,CSPA category,TM domains,topology,HPA antibody,DrugBank approved drug IDs,UniProt subcellular
GABRA4,Gamma-aminobutyric acid receptor subunit alpha-4,surface,pos. trainingset,,,4,SP:1-27;NC:28-256;TM:257-280;CY:281-288;TM:289-308;NC:309-320;TM:321-344;CY:345-522;TM:523-542;NC:543-554,HPA057756,DB00231;DB00241;DB00306;DB00312;DB00371;DB00418;DB00599;DB00683;DB00690;DB00794;DB00842;DB00849;DB00897;DB01351;DB01352;DB01353;DB01354;DB01355;DB01544;DB01558;DB01595;DB00186;DB00189;DB00228;DB00231;DB00237;DB00241;DB00273;DB00292;DB00306;DB00312;DB00334;DB00349;DB00371;DB00402;DB00404;DB00475;DB00543;DB00628;DB00659;DB00753;DB00794;DB00801;DB00818;DB00829;DB00842;DB00897;DB01028;DB01049;DB01068;DB01107;DB01159;DB01189;DB01205;DB01215;DB01236;DB01437;DB01588;DB01589,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GABRA5,Gamma-aminobutyric acid receptor subunit alpha-5,surface,pos. trainingset,,,4,SP:1-31;NC:32-256;TM:257-280;CY:281-287;TM:288-307;NC:308-321;TM:322-344;CY:345-430;TM:431-448;NC:449-462,no,DB00231;DB00241;DB00306;DB00312;DB00371;DB00402;DB00418;DB00546;DB00599;DB00683;DB00690;DB00794;DB00801;DB00829;DB00842;DB00849;DB00897;DB01198;DB01205;DB01215;DB01351;DB01352;DB01353;DB01354;DB01355;DB01544;DB01558;DB01559;DB01567;DB01588;DB01589;DB01594;DB01595;DB00186;DB00189;DB00228;DB00231;DB00237;DB00241;DB00273;DB00292;DB00306;DB00312;DB00334;DB00349;DB00371;DB00402;DB00404;DB00475;DB00543;DB00628;DB00659;DB00753;DB00794;DB00801;DB00818;DB00829;DB00842;DB00897;DB01028;DB01049;DB01068;DB01107;DB01159;DB01189;DB01205;DB01215;DB01236;DB01437;DB01588;DB01589,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GABRA6,Gamma-aminobutyric acid receptor subunit alpha-6,surface,pos. trainingset,,,4,SP:1-19;NC:20-240;TM:241-264;CY:265-272;TM:273-292;NC:293-304;TM:305-328;CY:329-422;TM:423-441;NC:442-453,HPA019188;CAB022462;HPA058329,DB00231;DB00241;DB00306;DB00312;DB00371;DB00418;DB00599;DB00683;DB00690;DB00794;DB00842;DB00849;DB00897;DB01351;DB01352;DB01353;DB01354;DB01355;DB01544;DB01558;DB01595;DB00186;DB00189;DB00228;DB00231;DB00237;DB00241;DB00273;DB00292;DB00306;DB00312;DB00334;DB00349;DB00371;DB00402;DB00404;DB00475;DB00543;DB00628;DB00659;DB00753;DB00794;DB00801;DB00818;DB00829;DB00842;DB00897;DB01028;DB01049;DB01068;DB01107;DB01159;DB01189;DB01205;DB01215;DB01236;DB01437;DB01588;DB01589,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GABRB1,Gamma-aminobutyric acid receptor subunit beta-1,surface,pos. trainingset,,,4,SP:1-24;NC:25-242;TM:243-266;CY:267-273;TM:274-293;NC:294-307;TM:308-331;CY:332-454;TM:455-472;NC:473-474,HPA051297,DB00231;DB00431;DB00546;DB00683;DB00690;DB00801;DB00829;DB00842;DB00897;DB01215;DB01440;DB01558;DB01559;DB01567;DB01587;DB01588;DB01589;DB01594;DB01595;DB00186;DB00189;DB00228;DB00231;DB00237;DB00241;DB00273;DB00292;DB00306;DB00312;DB00334;DB00349;DB00371;DB00402;DB00404;DB00475;DB00543;DB00628;DB00659;DB00753;DB00794;DB00801;DB00818;DB00829;DB00842;DB00897;DB01028;DB01049;DB01068;DB01107;DB01159;DB01189;DB01205;DB01215;DB01236;DB01437;DB01588;DB01589,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GABRB2,Gamma-aminobutyric acid receptor subunit beta-2,surface,machine learning,,,4,SP:1-24;NC:25-241;TM:242-265;CY:266-271;TM:272-292;NC:293-307;TM:308-330;CY:331-492;TM:493-510;NC:511-512,CAB001964,DB00231;DB00546;DB00683;DB00690;DB00801;DB00818;DB00829;DB00842;DB00897;DB01215;DB01381;DB01558;DB01559;DB01567;DB01588;DB01594;DB01595;DB06716;DB00186;DB00189;DB00228;DB00231;DB00237;DB00241;DB00273;DB00292;DB00306;DB00312;DB00334;DB00349;DB00371;DB00402;DB00404;DB00475;DB00543;DB00628;DB00659;DB00753;DB00794;DB00801;DB00818;DB00829;DB00842;DB00897;DB01028;DB01049;DB01068;DB01107;DB01159;DB01189;DB01205;DB01215;DB01236;DB01437;DB01588;DB01589,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GABRB3,Gamma-aminobutyric acid receptor subunit beta-3,surface,pos. trainingset,,1 - high confidence,4,SP:1-25;NC:26-242;TM:243-266;CY:267-272;TM:273-293;NC:294-308;TM:309-332;CY:333-453;TM:454-471;NC:472-473,no,DB00231;DB00546;DB00592;DB00602;DB00683;DB00690;DB00801;DB00818;DB00829;DB00842;DB00897;DB01215;DB01558;DB01559;DB01567;DB01588;DB01589;DB01594;DB01595;DB06716;DB00186;DB00189;DB00228;DB00231;DB00237;DB00241;DB00273;DB00292;DB00306;DB00312;DB00334;DB00349;DB00371;DB00402;DB00404;DB00475;DB00543;DB00628;DB00659;DB00753;DB00794;DB00801;DB00818;DB00829;DB00842;DB00897;DB01028;DB01049;DB01068;DB01107;DB01159;DB01189;DB01205;DB01215;DB01236;DB01437;DB01588;DB01589,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GABRD,Gamma-aminobutyric acid receptor subunit delta,surface,pos. trainingset,,,4,SP:1-21;NC:22-248;TM:249-271;CY:272-279;TM:280-300;NC:301-311;TM:312-333;CY:334-428;TM:429-449;NC:450-452,HPA044371,DB00231;DB00546;DB00683;DB00690;DB00801;DB00829;DB00842;DB00897;DB01215;DB01558;DB01559;DB01567;DB01587;DB01588;DB01589;DB01594;DB01595;DB00186;DB00189;DB00228;DB00231;DB00237;DB00241;DB00273;DB00292;DB00306;DB00312;DB00334;DB00349;DB00371;DB00402;DB00404;DB00475;DB00543;DB00628;DB00659;DB00753;DB00794;DB00801;DB00818;DB00829;DB00842;DB00897;DB01028;DB01049;DB01068;DB01107;DB01159;DB01189;DB01205;DB01215;DB01236;DB01437;DB01588;DB01589,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GABRE,Gamma-aminobutyric acid receptor subunit epsilon,surface,pos. trainingset,,,4,SP:1-20;NC:21-255;TM:256-273;CY:274-284;TM:285-301;NC:302-341;TM:342-366;CY:367-482;TM:483-502;NC:503-506,HPA045918,DB00231;DB00546;DB00683;DB00690;DB00801;DB00829;DB00842;DB00897;DB01215;DB01558;DB01559;DB01567;DB01587;DB01588;DB01589;DB01594;DB01595;DB00186;DB00189;DB00228;DB00231;DB00237;DB00241;DB00273;DB00292;DB00306;DB00312;DB00334;DB00349;DB00371;DB00402;DB00404;DB00475;DB00543;DB00628;DB00659;DB00753;DB00794;DB00801;DB00818;DB00829;DB00842;DB00897;DB01028;DB01049;DB01068;DB01107;DB01159;DB01189;DB01205;DB01215;DB01236;DB01437;DB01588;DB01589,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GABRG1,Gamma-aminobutyric acid receptor subunit gamma-1,surface,pos. trainingset,,,4,SP:1-18;NC:19-271;TM:272-293;CY:294-302;TM:303-321;NC:322-331;TM:332-353;CY:354-444;TM:445-464;NC:465-465,HPA035622,DB00231;DB00546;DB00683;DB00690;DB00801;DB00829;DB00842;DB00897;DB01215;DB01558;DB01559;DB01567;DB01587;DB01588;DB01589;DB01594;DB01595;DB00186;DB00189;DB00228;DB00231;DB00237;DB00241;DB00273;DB00292;DB00306;DB00312;DB00334;DB00349;DB00371;DB00402;DB00404;DB00475;DB00543;DB00628;DB00659;DB00753;DB00794;DB00801;DB00818;DB00829;DB00842;DB00897;DB01028;DB01049;DB01068;DB01107;DB01159;DB01189;DB01205;DB01215;DB01236;DB01437;DB01588;DB01589,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GABRG2,Gamma-aminobutyric acid receptor subunit gamma-2,surface,machine learning,,,4,SP:1-38;NC:39-272;TM:273-295;CY:296-304;TM:305-323;NC:324-336;TM:337-360;CY:361-443;TM:444-465;NC:466-467,no,DB00231;DB00546;DB00683;DB00690;DB00801;DB00829;DB00842;DB00897;DB01205;DB01215;DB01381;DB01558;DB01559;DB01567;DB01588;DB01589;DB01594;DB01595;DB00186;DB00189;DB00228;DB00231;DB00237;DB00241;DB00273;DB00292;DB00306;DB00312;DB00334;DB00349;DB00371;DB00402;DB00404;DB00475;DB00543;DB00628;DB00659;DB00753;DB00794;DB00801;DB00818;DB00829;DB00842;DB00897;DB01028;DB01049;DB01068;DB01107;DB01159;DB01189;DB01205;DB01215;DB01236;DB01437;DB01588;DB01589,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GABRG3,Gamma-aminobutyric acid receptor subunit gamma-3,surface,machine learning,,,4,SP:1-17;NC:18-254;TM:255-277;CY:278-285;TM:286-304;NC:305-314;TM:315-336;CY:337-446;TM:447-466;NC:467-467,HPA054010,DB00231;DB00546;DB00683;DB00690;DB00801;DB00829;DB00842;DB00897;DB01215;DB01558;DB01559;DB01567;DB01588;DB01589;DB01594;DB01595;DB00186;DB00189;DB00228;DB00231;DB00237;DB00241;DB00273;DB00292;DB00306;DB00312;DB00334;DB00349;DB00371;DB00402;DB00404;DB00475;DB00543;DB00628;DB00659;DB00753;DB00794;DB00801;DB00818;DB00829;DB00842;DB00897;DB01028;DB01049;DB01068;DB01107;DB01159;DB01189;DB01205;DB01215;DB01236;DB01437;DB01588;DB01589,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GABRP,Gamma-aminobutyric acid receptor subunit pi,surface,pos. trainingset,,,4,SP:1-20;NC:21-241;TM:242-264;CY:265-274;TM:275-295;NC:296-307;TM:308-327;CY:328-419;TM:420-437;NC:438-440,CAB014883,DB00231;DB00546;DB00683;DB00690;DB00801;DB00829;DB00842;DB00897;DB01215;DB01558;DB01559;DB01567;DB01588;DB01589;DB01594;DB01595;DB00186;DB00189;DB00228;DB00231;DB00237;DB00241;DB00273;DB00292;DB00306;DB00312;DB00334;DB00349;DB00371;DB00402;DB00404;DB00475;DB00543;DB00628;DB00659;DB00753;DB00794;DB00801;DB00818;DB00829;DB00842;DB00897;DB01028;DB01049;DB01068;DB01107;DB01159;DB01189;DB01205;DB01215;DB01236;DB01437;DB01588;DB01589,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GABRQ,Gamma-aminobutyric acid receptor subunit theta,surface,machine learning,,,3,SP:1-23;NC:24-271;TM:272-290;CY:291-327;TM:328-349;NC:350-609;TM:610-629;CY:630-632,no,DB00231;DB00683;DB00690;DB00829;DB00842;DB00897;DB01558;DB01595;DB00186;DB00189;DB00228;DB00231;DB00237;DB00241;DB00273;DB00292;DB00306;DB00312;DB00334;DB00349;DB00371;DB00402;DB00404;DB00475;DB00543;DB00628;DB00659;DB00753;DB00794;DB00801;DB00818;DB00829;DB00842;DB00897;DB01028;DB01049;DB01068;DB01107;DB01159;DB01189;DB01205;DB01215;DB01236;DB01437;DB01588;DB01589,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GABRR1,Gamma-aminobutyric acid receptor subunit rho-1,surface,pos. trainingset,,,4,SP:1-21;NC:22-280;TM:281-304;CY:305-313;TM:314-334;NC:335-345;TM:346-368;CY:369-457;TM:458-477;NC:478-479,no,DB00231;DB00546;DB00683;DB00690;DB00801;DB00829;DB00842;DB00897;DB01215;DB01558;DB01559;DB01567;DB01588;DB01589;DB01594;DB01595,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GABRR2,Gamma-aminobutyric acid receptor subunit rho-2,surface,pos. trainingset,,,4,SP:1-20;NC:21-260;TM:261-284;CY:285-293;TM:294-314;NC:315-325;TM:326-349;CY:350-444;TM:445-463;NC:464-465,HPA016467,DB00231;DB00546;DB00683;DB00690;DB00801;DB00829;DB00842;DB00897;DB01215;DB01558;DB01559;DB01567;DB01588;DB01589;DB01594;DB01595,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GABRR3,Gamma-aminobutyric acid receptor subunit rho-3,surface,machine learning,,,4,SP:1-24;NC:25-266;TM:267-290;CY:291-299;TM:300-320;NC:321-332;TM:333-355;CY:356-447;TM:448-465;NC:466-467,no,DB00231;DB00546;DB00683;DB00690;DB00801;DB00829;DB00842;DB00897;DB01215;DB01558;DB01559;DB01567;DB01588;DB01589;DB01594;DB01595,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GALR1,Galanin receptor type 1,surface,pos. trainingset,,,7,NC:1-33;TM:34-59;CY:60-70;TM:71-93;NC:94-110;TM:111-131;CY:132-151;TM:152-172;NC:173-198;TM:199-224;CY:225-244;TM:245-266;NC:267-272;TM:273-293;CY:294-349,no,,Cell membrane (Multi-pass membrane protein)
GALR2,Galanin receptor type 2,surface,pos. trainingset,,,7,NC:1-26;TM:27-51;CY:52-62;TM:63-83;NC:84-101;TM:102-121;CY:122-141;TM:142-162;NC:163-185;TM:186-208;CY:209-236;TM:237-256;NC:257-267;TM:268-287;CY:288-387,HPA044513,,Cell membrane (Multi-pass membrane protein)
GALR3,Galanin receptor type 3,surface,pos. trainingset,,,7,NC:1-17;TM:18-43;CY:44-58;TM:59-80;NC:81-99;TM:100-119;CY:120-139;TM:140-161;NC:162-183;TM:184-204;CY:205-235;TM:236-254;NC:255-261;TM:262-282;CY:283-368,no,,Cell membrane (Multi-pass membrane protein)
GAS1,Growth arrest-specific protein 1,surface,GPI (UniProt),,,0,SP:1-14;NC:15-345,CAB024164;HPA036085,,"Cell membrane (Lipid-anchor, GPI-anchor)"
GCGR,Glucagon receptor,surface,machine learning,,,7,SP:1-25;NC:26-143;TM:144-166;CY:167-177;TM:178-198;NC:199-223;TM:224-244;CY:245-263;TM:264-284;NC:285-304;TM:305-329;CY:330-349;TM:350-368;NC:369-381;TM:382-403;CY:404-477,no,DB00040,Cell membrane (Multi-pass membrane protein)
GDPD2,Glycerophosphoinositol inositolphosphodiesterase GDPD2,surface,machine learning,,,6,CY:1-37;TM:38-62;NC:63-81;TM:82-107;CY:108-120;TM:121-140;NC:141-157;TM:158-177;CY:178-188;TM:189-211;NC:212-489;TM:490-511;CY:512-539,HPA045026,,"Cell membrane (Multi-pass membrane protein);Cytoplasm;Cytoplasm, cytoskeleton"
GDPD5,Glycerophosphodiester phosphodiesterase domain-containing protein 5,surface,machine learning,,2 - putative,6,CY:1-42;TM:43-63;NC:64-87;TM:88-114;CY:115-125;TM:126-145;NC:146-161;TM:162-181;CY:182-192;TM:193-213;NC:214-497;TM:498-517;CY:518-605,no,,"Cell projection, growth cone;Cytoplasm, perinuclear region;Endomembrane system (Multi- pass membrane protein)"
GFRA1,GDNF family receptor alpha-1,surface,GPI (UniProt),,1 - high confidence,0,SP:1-18;NC:19-465,HPA043829,,"Cell membrane (Lipid-anchor, GPI-anchor)"
GFRA2,GDNF family receptor alpha-2,surface,GPI (UniProt),,1 - high confidence,0,SP:1-21;NC:22-464,HPA024704;CAB032791,,"Cell membrane (Lipid-anchor, GPI-anchor)"
GFRA3,GDNF family receptor alpha-3,surface,GPI (UniProt),,,0,SP:1-29;NC:30-400,HPA020731,,"Cell membrane (Lipid-anchor, GPI-anchor)"
GFRA4,GDNF family receptor alpha-4,surface,GPI (UniProt),,,0,SP:1-23;NC:24-299,no,,"Cell membrane (Lipid- anchor, GPI-anchor);Cell membrane (Lipid- anchor, GPI-anchor);Secreted"
GFRAL,GDNF family receptor alpha-like,surface,machine learning,,,1,SP:1-21;NC:22-351;TM:352-372;CY:373-394,HPA047372,,Membrane (Single-pass membrane protein)
GFY,Golgi-associated olfactory signaling regulator,surface,machine learning,,,1,SP:1-21;NC:22-405;TM:406-430;CY:431-518,no,,Golgi apparatus membrane (Single-pass type I membrane protein)
GGT1,Gamma-glutamyltranspeptidase 1,surface,pos. trainingset,CD224,2 - putative,1,CY:1-6;TM:7-27;NC:28-569,HPA045635;HPA047534,DB00143,Cell membrane (Single-pass type II membrane protein)
GGT7,Gamma-glutamyltransferase 7,surface,machine learning,,2 - putative,1,CY:1-106;TM:107-131;NC:132-662,HPA013204,,Membrane (Single-pass type II membrane protein)
GHR,Growth hormone receptor,surface,machine learning,,,1,SP:1-20;NC:21-263;TM:264-287;CY:288-638,no,DB00052;DB00082,Cell membrane (Single-pass type I membrane protein);Secreted;Cell membrane (Single-pass type I membrane protein)
GHRHR,Growth hormone-releasing hormone receptor,surface,machine learning,,,7,SP:1-22;NC:23-130;TM:131-154;CY:155-163;TM:164-182;NC:183-206;TM:207-230;CY:231-240;TM:241-261;NC:262-280;TM:281-304;CY:305-328;TM:329-348;NC:349-359;TM:360-379;CY:380-423,no,DB00010;DB08869,Cell membrane (Multi-pass membrane protein)
GHSR,Growth hormone secretagogue receptor type 1,surface,pos. trainingset,,,7,NC:1-41;TM:42-68;CY:69-79;TM:80-100;NC:101-119;TM:120-139;CY:140-159;TM:160-183;NC:184-211;TM:212-235;CY:236-263;TM:264-286;NC:287-305;TM:306-325;CY:326-366,CAB012451,,Cell membrane (Multi-pass membrane protein)
GINM1,Glycoprotein integral membrane protein 1,surface,machine learning,,,1,SP:1-28;NC:29-264;TM:265-288;CY:289-330,HPA017210;HPA041679,,Membrane (Single-pass type I membrane protein)
GIPR,Gastric inhibitory polypeptide receptor,surface,machine learning,,,7,SP:1-25;NC:26-138;TM:139-161;CY:162-170;TM:171-189;NC:190-227;TM:228-247;CY:248-258;TM:259-279;NC:280-296;TM:297-319;CY:320-338;TM:339-360;NC:361-374;TM:375-395;CY:396-466,CAB022710,,Cell membrane (Multi-pass membrane protein)
GJA1,Gap junction alpha-1 protein,surface,machine learning,,,4,CY:1-19;TM:20-40;NC:41-76;TM:77-99;CY:100-153;TM:154-176;NC:177-207;TM:208-233;CY:234-382,CAB010753;HPA035097,DB01136,"Cell junction, gap junction;Cell membrane (Multi-pass membrane protein)"
GJA3,Gap junction alpha-3 protein,surface,pos. trainingset,,,4,CY:1-19;TM:20-41;NC:42-76;TM:77-100;CY:101-148;TM:149-170;NC:171-201;TM:202-223;CY:224-435,no,,"Cell junction, gap junction;Cell membrane (Multi-pass membrane protein)"
GJA4,Gap junction alpha-4 protein,surface,pos. trainingset,,,4,CY:1-19;TM:20-40;NC:41-77;TM:78-99;CY:100-149;TM:150-171;NC:172-207;TM:208-233;CY:234-333,CAB013247,,"Cell junction, gap junction;Cell membrane (Multi-pass membrane protein)"
GJB1,Gap junction beta-1 protein,surface,machine learning,,,4,CY:1-20;TM:21-40;NC:41-75;TM:76-96;CY:97-130;TM:131-156;NC:157-189;TM:190-214;CY:215-283,HPA010663;CAB012994,,"Cell junction, gap junction;Cell membrane (Multi-pass membrane protein)"
GJB2,Gap junction beta-2 protein,surface,pos. trainingset,,,4,CY:1-21;TM:22-40;NC:41-75;TM:76-97;CY:98-131;TM:132-157;NC:158-190;TM:191-215;CY:216-226,CAB013093,,"Cell junction, gap junction;Cell membrane (Multi-pass membrane protein)"
GJB3,Gap junction beta-3 protein,surface,pos. trainingset,,,4,CY:1-19;TM:20-39;NC:40-75;TM:76-97;CY:98-127;TM:128-149;NC:150-186;TM:187-211;CY:212-270,no,,"Cell junction, gap junction;Cell membrane (Multi-pass membrane protein)"
GJB4,Gap junction beta-4 protein,surface,pos. trainingset,,,4,CY:1-19;TM:20-39;NC:40-75;TM:76-97;CY:98-127;TM:128-149;NC:150-185;TM:186-209;CY:210-266,no,,"Cell junction, gap junction;Cell membrane (Multi-pass membrane protein)"
GJB5,Gap junction beta-5 protein,surface,pos. trainingset,,,4,CY:1-19;TM:20-39;NC:40-75;TM:76-97;CY:98-126;TM:127-149;NC:150-185;TM:186-209;CY:210-273,HPA038146,,"Cell junction, gap junction;Cell membrane (Multi-pass membrane protein)"
GJB6,Gap junction beta-6 protein,surface,machine learning,,,4,CY:1-21;TM:22-41;NC:42-76;TM:77-98;CY:99-131;TM:132-158;NC:159-190;TM:191-215;CY:216-261,HPA014846,,"Cell junction, gap junction;Cell membrane (Multi-pass membrane protein)"
GJB7,Gap junction beta-7 protein,surface,machine learning,,,4,CY:1-20;TM:21-39;NC:40-76;TM:77-98;CY:99-118;TM:119-143;NC:144-177;TM:178-203;CY:204-223,no,,"Cell junction, gap junction;Cell membrane (Multi-pass membrane protein)"
GJC2,Gap junction gamma-2 protein,surface,pos. trainingset,,,4,CY:1-20;TM:21-42;NC:43-78;TM:79-100;CY:101-211;TM:212-234;NC:235-265;TM:266-285;CY:286-439,no,,"Cell junction, gap junction;Cell membrane (Multi-pass membrane protein)"
GJC3,Gap junction gamma-3 protein,surface,machine learning,,,4,CY:1-19;TM:20-40;NC:41-76;TM:77-100;CY:101-133;TM:134-156;NC:157-193;TM:194-216;CY:217-279,HPA015024,,"Cell junction, gap junction;Cell membrane (Multi-pass membrane protein)"
GJD2,Gap junction delta-2 protein,surface,pos. trainingset,,,4,CY:1-20;TM:21-42;NC:43-77;TM:78-98;CY:99-197;TM:198-220;NC:221-251;TM:252-271;CY:272-321,HPA014355,,"Cell junction, gap junction;Cell membrane (Multi-pass membrane protein)"
GLDN,Gliomedin,surface,pos. trainingset,,,1,CY:1-18;TM:19-38;NC:39-551,HPA059441,,Cell membrane (Single-pass type II membrane protein)
GLIPR1,Glioma pathogenesis-related protein 1,surface,machine learning,,,1,SP:1-21;NC:22-233;TM:234-255;CY:256-266,HPA011014,,Membrane (Single-pass membrane protein)
GLP1R,Glucagon-like peptide 1 receptor,surface,pos. trainingset,,,7,SP:1-21;NC:22-141;TM:142-167;CY:168-178;TM:179-196;NC:197-228;TM:229-253;CY:254-263;TM:264-287;NC:288-306;TM:307-332;CY:333-352;TM:353-370;NC:371-383;TM:384-405;CY:406-463,no,DB00040;DB01276;DB06655,Cell membrane (Multi-pass membrane protein)
GLP2R,Glucagon-like peptide 2 receptor,surface,pos. trainingset,,,7,NC:1-179;TM:180-203;CY:204-214;TM:215-236;NC:237-265;TM:266-287;CY:288-300;TM:301-321;NC:322-340;TM:341-362;CY:363-382;TM:383-404;NC:405-415;TM:416-439;CY:440-553,CAB022690;HPA049244,DB00040;DB08900,Cell membrane (Multi-pass membrane protein)
GLRA1,Glycine receptor subunit alpha-1,surface,machine learning,,,4,SP:1-28;NC:29-250;TM:251-272;CY:273-280;TM:281-300;NC:301-312;TM:313-335;CY:336-428;TM:429-447;NC:448-457,HPA016502,DB00145;DB00431;DB00753;DB00898;DB01028;DB01159;DB01189;DB01236;DB01381;DB00228,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GLRA2,Glycine receptor subunit alpha-2,surface,pos. trainingset,,,4,SP:1-27;NC:28-255;TM:256-278;CY:279-286;TM:287-306;NC:307-318;TM:319-341;CY:342-423;TM:424-443;NC:444-452,HPA053525;HPA060526,DB00145;DB00431;DB00898,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GLRA3,Glycine receptor subunit alpha-3,surface,pos. trainingset,,,4,SP:1-28;NC:29-254;TM:255-277;CY:278-285;TM:286-305;NC:306-317;TM:318-340;CY:341-433;TM:434-451;NC:452-464,HPA014805,DB00145;DB00431;DB00602,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GLRA4,Glycine receptor subunit alpha-4,surface,machine learning,,,2,SP:1-28;NC:29-256;TM:257-279;CY:280-319;TM:320-339;NC:340-417,HPA044759,,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GLRB,Glycine receptor subunit beta,surface,pos. trainingset,,,4,SP:1-20;NC:21-267;TM:268-289;CY:290-298;TM:299-319;NC:320-330;TM:331-350;CY:351-474;TM:475-495;NC:496-497,HPA052363,DB00145;DB00431;DB00228,"Cell junction, synapse, postsynaptic cell membrane (Multi-pass membrane protein);Cell membrane (Multi-pass membrane protein)"
GML,Glycosyl-phosphatidylinositol-anchored molecule-like protein,surface,GPI (UniProt),,,0,SP:1-17;NC:18-158,no,,"Cell membrane (Lipid-anchor, GPI-anchor)"
GNRHR,Gonadotropin-releasing hormone receptor,surface,pos. trainingset,,,7,NC:1-36;TM:37-58;CY:59-77;TM:78-97;NC:98-116;TM:117-138;CY:139-158;TM:159-178;NC:179-209;TM:210-231;CY:232-275;TM:276-292;NC:293-303;TM:304-326;CY:327-328,no,DB00007;DB00014;DB00050;DB00106;DB00644;DB00666;DB01406;DB06699;DB06719,Cell membrane (Multi-pass membrane protein)
GP1BA,Platelet glycoprotein Ib alpha chain,surface,machine learning,CD42b,,1,SP:1-16;NC:17-530;TM:531-555;CY:556-652,CAB002496;HPA013316,,Membrane (Single-pass type I membrane protein)
GP1BB,Platelet glycoprotein Ib beta chain,surface,machine learning,CD42c,,1,SP:1-25;NC:26-151;TM:152-173;CY:174-206,no,,Membrane (Single-pass type I membrane protein)
GP2,Pancreatic secretory granule membrane major glycoprotein GP2,surface,GPI (UniProt),,,0,SP:1-28;NC:29-537,HPA015739;HPA016668,,"Cell membrane (Lipid-anchor, GPI-anchor);Secreted"
GP5,Platelet glycoprotein V,surface,machine learning,CD42d,1 - high confidence,1,SP:1-18;NC:19-521;TM:522-545;CY:546-560,no,,Membrane (Single-pass type I membrane protein)
GP6,Platelet glycoprotein VI,surface,machine learning,,,1,SP:1-20;NC:21-269;TM:270-289;CY:290-339,HPA066482,,Cell membrane (Single-pass membrane protein);Cell membrane (Single-pass membrane protein)
GPA33,Cell surface A33 antigen,surface,machine learning,,,1,SP:1-21;NC:22-234;TM:235-259;CY:260-319,HPA018858;CAB025943,,Membrane (Single-pass type I membrane protein)
GPBAR1,G-protein coupled bile acid receptor 1,surface,machine learning,,,7,NC:1-19;TM:20-41;CY:42-51;TM:52-75;NC:76-80;TM:81-105;CY:106-125;TM:126-145;NC:146-165;TM:166-189;CY:190-228;TM:229-250;NC:251-261;TM:262-282;CY:283-330,HPA062890,,Cell membrane (Multi-pass membrane protein)
GPC1,Glypican-1,surface,GPI (UniProt),,1 - high confidence,0,SP:1-23;NC:24-558,HPA030571,,"Cell membrane (Lipid-anchor, GPI-anchor|Extracellular side;Endosome;Secreted, extracellular space"
GPC2,Glypican-2,surface,GPI (UniProt),,,0,SP:1-26;NC:27-579,CAB025423,,"Cell membrane (Lipid-anchor, GPI-anchor|Extracellular side;Secreted, extracellular space"
GPC3,Glypican-3,surface,GPI (UniProt),,,0,SP:1-24;NC:25-580,HPA006316;CAB017784,,"Cell membrane (Lipid-anchor, GPI-anchor|Extracellular side;Secreted, extracellular space"
